순번,대분류,도서명,저자,발행처(출판사)
93,도서,첫번째사회책-슈퍼마켓에 갔어요7,김태련,새세대육영회
94,도서,첫번째사회책-난 책이 좋아 8,김태련,새세대육영회
95,도서,첫번째음악책-소리를 만들어 보세요1,김태련,한국어린이육영회
96,도서,첫번째음악책-여러가지 리듬악기2,김태련,한국어린이육영회
97,도서,첫번째음악책-노래를 불러보세요3,김태련,한국어린이육영회
98,도서,첫번째음악책-음악이란 무엇일까요?4,김태련,한국어린이육영회
99,도서,첫번째음악책-음악이란 어떻게 만들어 질까요?5,김태련,한국어린이육영회
100,도서,첫번째음악책-음악은 어디에 쓰일까요?6,김태련,한국어린이육영회
101,도서,첫번째음악책-음악과 함께 일하는 사람들7,김태련,한국어린이육영회
102,도서,첫번째음악책-세계여러나라의 음악8,김태련,한국어린이육영회
103,도서,한국우수 전래동화40 : 요술 부채,배효정 글 / 이다현 그림,한국헤밍웨이
104,도서,한국우수 전래동화41 : 흥부와 놀부,배효정 글 / 박문희 그림,한국헤밍웨이
105,도서,우정과 가족애를 길러 주는 이야기2 : 알프스 소녀 하이디,요한나 슈피리 원작 / 신현배 글/ 혁 채 그림,한국헤밍웨이
106,도서,우정과 가족애를 길러 주는 이야기3 : 톰 소여의 모험,마크 트웨인 원작 / 김현애 글 / 전상우 그림,한국헤밍웨이
107,도서,우정과 가족애를 길러 주는 이야기4 : 헨젤과 그레텔,,한국헤밍웨이
108,도서,우정과 가족애를 길러 주는 이야기5 : 홍당무,쥘 르나르 원작 / 김현애 글 /이갑규 그림,한국헤밍웨이
109,도서,우정과 가족애를 길러 주는 이야기6 : 집 없는 아이,엑토르 말로 원작 / 강원희 글 / 손미경 그림,한국헤밍웨이
110,도서,우정과 가족애를 길러 주는 이야기7 : 빨강머리 앤,몽고메리 원작 / 이림 글 / 정민식 그림,한국헤밍웨이
111,도서,우정과 가족애를 길러 주는 이야기8 : 플랜더스의 개,위다 원작 / 조항록 글 / 한갑수 그림,한국헤밍웨이
112,도서,우정과 가족애를 길러 주는 이야기9 : 빨간 모자,그림 형제 원작 / 송종호 글 / 이다현 그림,한국헤밍웨이
